kind,x,mismatch,total,rate
bucket,0,14,97,0.1443
bucket,100,52,98,0.5306
bucket,200,19,98,0.1939
bucket,300,11,98,0.1122
bucket,400,30,98,0.3061
bucket,500,23,98,0.2347
bucket,600,11,98,0.1122
bucket,700,23,97,0.2371
bucket,800,17,98,0.1735
bucket,900,20,95,0.2105
bucket,1000,17,98,0.1735
bucket,1100,39,98,0.398
bucket,1200,24,98,0.2449
bucket,1300,28,98,0.2857
bucket,1400,17,98,0.1735
bucket,1500,36,97,0.3711
bucket,1600,29,98,0.2959
bucket,1700,19,98,0.1939
bucket,1800,33,94,0.3511
bucket,1900,20,98,0.2041
bucket,2000,42,98,0.4286
bucket,2100,19,98,0.1939
bucket,2200,38,98,0.3878
bucket,2300,28,97,0.2887
bucket,2400,43,98,0.4388
bucket,2500,46,98,0.4694
bucket,2600,33,97,0.3402
bucket,2700,0,98,0.0
bucket,2800,22,98,0.2245
bucket,2900,33,98,0.3367
bucket,3000,18,97,0.1856
bucket,3100,30,97,0.3093
bucket,3200,36,98,0.3673
bucket,3300,33,98,0.3367
bucket,3400,40,98,0.4082
bucket,3500,38,93,0.4086
bucket,3600,27,98,0.2755
bucket,3700,8,98,0.0816
bucket,3800,24,98,0.2449
bucket,3900,35,97,0.3608
bucket,4000,36,97,0.3711
bucket,4100,26,98,0.2653
bucket,4200,38,98,0.3878
bucket,4300,24,98,0.2449
bucket,4400,14,98,0.1429
bucket,4500,25,98,0.2551
bucket,4600,10,98,0.102
trace_rebuffer,20,0.0,0.799,
trace_rebuffer,38,0.0,3.435,
trace_rebuffer,52,3.375,0.0,
trace_rebuffer,64,2.024,0.712,
trace_rebuffer,74,0.0,1.997,
trace_rebuffer,94,13.106,0.0,
