kind,x,mismatch,total,rate
bucket,0,28,100,0.28
bucket,100,19,100,0.19
bucket,200,1,100,0.01
bucket,300,28,100,0.28
bucket,400,29,100,0.29
bucket,500,12,100,0.12
bucket,600,36,100,0.36
bucket,700,42,100,0.42
bucket,800,6,100,0.06
bucket,900,45,100,0.45
bucket,1000,30,100,0.3
bucket,1100,35,100,0.35
bucket,1200,24,100,0.24
bucket,1300,11,100,0.11
bucket,1400,42,100,0.42
bucket,1500,30,100,0.3
bucket,1600,57,100,0.57
bucket,1700,30,100,0.3
bucket,1800,17,100,0.17
bucket,1900,25,100,0.25
bucket,2000,29,100,0.29
bucket,2100,29,100,0.29
bucket,2200,3,18,0.1667
trace_rebuffer,52,3.375,1.223,
trace_rebuffer,64,2.024,0.0,
trace_rebuffer,79,0.0,5.777,
trace_rebuffer,94,13.106,0.0,
