kind,x,mismatch,total,rate
bucket,0,3,100,0.03
bucket,100,0,100,0.0
bucket,200,1,100,0.01
bucket,300,21,100,0.21
bucket,400,45,100,0.45
bucket,500,13,100,0.13
bucket,600,0,100,0.0
bucket,700,0,100,0.0
bucket,800,0,100,0.0
bucket,900,0,100,0.0
bucket,1000,0,100,0.0
bucket,1100,0,100,0.0
bucket,1200,0,100,0.0
bucket,1300,0,100,0.0
bucket,1400,0,100,0.0
bucket,1500,0,100,0.0
bucket,1600,0,100,0.0
bucket,1700,0,100,0.0
bucket,1800,0,100,0.0
bucket,1900,5,100,0.05
bucket,2000,0,100,0.0
bucket,2100,0,100,0.0
bucket,2200,0,18,0.0
trace_rebuffer,52,3.375,1.223,
trace_rebuffer,64,2.024,0.0,
trace_rebuffer,94,13.106,0.413,
