phase,drafter,k,gate,floor_s,gate_trips,safe_serves,qoe,d_qoe_pct,speedup_vs_a1,latency_ms,q,acceptance,draft_1step,rebuffer_s,d_rebuffer_s,fb_total,fb_buffer,incidence_C,crit_total,crit_incidence,crit_speedup,crit_qoe,n_pass
m2_repeat_k3,repeat-last,3,none,0.0,,,0.93424,-1.53,1.419,56.81,0.3777,0.7839,0.8795,23.845,17.454,900,759,0.00338,FAIL,PASS,PASS,FAIL,2
m3_hybrid_k3,hybrid,3,none,0.0,,,0.93191,-1.77,1.413,57.05,0.3728,0.7302,0.8315,26.868,20.476,847,686,0.00228,FAIL,PASS,PASS,FAIL,2
m4_repeat_k5,repeat-last,5,none,0.0,,,0.91111,-3.96,1.306,61.73,0.4191,0.6953,0.8717,37.122,30.73,1000,840,0.00254,FAIL,PASS,PASS,FAIL,2
m5_hybrid_k5,hybrid,5,none,0.0,,,0.93001,-1.97,1.326,60.79,0.4185,0.6591,0.8269,18.506,12.114,971,833,0.00559,FAIL,PASS,PASS,FAIL,2
g_hybrid_k3_f5,hybrid,3,fallback,5.0,,,0.91275,-3.79,1.565,51.51,0.3704,0.7319,0.8295,58.33,51.938,859,720,,FAIL,?,PASS,FAIL,1
g_hybrid_k5_f5,hybrid,5,fallback,5.0,,,0.93623,-1.32,1.474,54.7,0.4117,0.6596,0.8349,7.0,0.608,990,846,,PASS,?,PASS,PASS,3
g_repeat_k3_f3,repeat-last,3,fallback,3.0,,,0.93424,-1.53,1.565,51.54,0.3777,0.7839,0.8795,23.845,17.454,900,759,,FAIL,?,PASS,FAIL,1
g_repeat_k3_f5,repeat-last,3,fallback,5.0,,,0.91264,-3.8,1.645,49.02,0.3785,0.7789,0.8781,50.826,44.434,894,733,,FAIL,?,PASS,FAIL,1
g_repeat_k3_f5_pred,repeat-last,3,fallback,5.0,,,0.91264,-3.8,1.556,51.83,0.3785,0.7789,0.8781,50.826,44.434,894,733,,FAIL,?,PASS,FAIL,1
g_repeat_k3_f8,repeat-last,3,fallback,8.0,,,0.92193,-2.82,1.505,53.58,0.3485,0.7903,0.8879,50.314,43.923,993,837,,FAIL,?,PASS,FAIL,1
