run,status,k,mode,buffer_tol,state_tol,return_tol,qoe,bitrate_mbps,rebuffer_s_per_chunk,rebuffer_total_s,smoothness_mbps,latency_mean_ms,latency_p50_ms,latency_p95_ms,speedup_vs_a1,acceptance_rate,q_queue_serve_share,queued_actions_served,accepted_prefix_mean,fallback_total,fallback_buffer,fallback_state,fallback_return,mpc_rollout_cpu_ms_mean,context_tokens_mean,selected_tokens_mean,inference_calls,target_plm_calls,llm_call_reduction_ratio,drafted_actions,accepted_actions,corrected_actions,draft_generation_failures,q_gap_to_parity,q_multiple_to_parity,q_gap_to_1.24x,q_multiple_to_1.24x,model_latency_ms,model_speedup,trace_decisions,mpc_rollout_cpu_ms_total
A1 all-off (ref),ok,0,sample,1.0,0.25,0.01,0.9487160882938208,1.0165531914893615,0.0013599398821890947,6.3917174462887445,0.06198936170212766,50.32867998934965,57.95360094634816,59.03212258708663,1.0,0.0,0.0,0,,0,0,0,0,,131.25531914893617,131.25531914893617,4700,4700,0.0,0,0,0,0,0.14625215284630777,,0.31427269599298496,,58.808,0.8558134945815136,,
E k=3 greedy (BASELINE6),ok,3,greedy,1.0,0.25,0.01,0.9190389226049035,0.9597340425531915,1.816248178888155e-05,0.08536366440774328,0.04061702127659574,54.81522271377431,67.29729700600728,68.44462499138899,0.9181515188244004,0.061424454508028,0.0627659574468085,295,0.18032390621223107,268,236,32,0,0.16408097341059802,148.07809307604995,148.07809307604995,4700,4405,0.06276595744680846,12145,746,4054,0,0.08348619539949927,2.3301190453479546,0.25150673854617644,5.007056512430609,55.16908085106383,0.9122624341924152,4700,678.802986999644
s0_mode_sample,ok,3,sample,1.0,0.25,0.01,0.9563658046136191,1.029968085106383,0.0015923165915878528,7.483887980462908,0.06675531914893618,54.37368418010784,67.11168453330174,69.30997333838604,0.9256073181033774,0.07908402145228569,0.07361702127659575,346,0.232191952011997,353,315,38,0,0.16890465233696184,147.92076251722554,147.92076251722554,4700,4354,0.07361702127659575,11747,929,3893,0,0.07263513156971202,1.9866621918429088,0.2406556747163892,4.269022171002975,54.539979574468084,0.9227850905340296,4700,675.7875140001843
s1_k1,ok,1,greedy,1.0,0.25,0.01,0.9174102819715103,0.956,5.3026953681460616e-05,0.2492266823028649,0.038361702127659575,56.2032118983111,66.73737056553364,67.27484005969018,0.8954769360941456,0.13893617021276597,0.0,0,0.13893617021276597,0,0,0,0,0.07569995872349623,132.25531914893617,132.25531914893617,4700,4700,0.0,4700,653,4047,0,0.14625215284630777,,0.31427269599298496,,58.808,0.8558134945815136,4700,355.7898060004323
s2_k2,ok,2,greedy,1.0,0.25,0.01,0.9331975160140633,0.9758510638297873,5.3026953681460616e-05,0.2492266823028649,0.04242553191489362,54.18159790233055,66.53243751497939,67.80532147386111,0.9288888098146111,0.07193816884661118,0.050851063829787234,239,0.1423529411764706,211,183,28,0,0.10714117294104017,140.58843308675185,140.58843308675185,4700,4461,0.05085106382978721,8410,605,4095,0,0.09540108901652053,2.876088361412747,0.26342163216319775,6.180258038355771,55.85985872340426,0.9009811542588606,4700,455.3499849994207
s3_k4,ok,4,greedy,1.0,0.25,0.01,0.9151453695550039,0.9583617021276594,0.0004882119293162365,2.2945960677863115,0.04111702127659574,52.134946530729415,61.989218986127526,67.94129143818282,0.9653540156540659,0.06803519061583578,0.0797872340425532,375,0.2632375189107413,359,325,34,0,0.3823031457388995,154.84693641618497,154.84693641618497,4700,4325,0.07978723404255317,15345,1044,3888,0,0.06646491880375457,1.8330269823403906,0.23448546195043177,3.9388844564454115,54.182255319148936,0.9288775392035524,4700,1516.2142760004754
s4_k5,ok,5,greedy,1.0,0.25,0.01,0.9268404255319148,0.9675319148936169,0.0,0.0,0.04069148936170213,56.57765684114333,66.88220996875316,74.92021051584743,0.889550447991522,0.07653117125013696,0.09957446808510638,468,0.36589837611314824,414,378,36,0,1.3214596943424621,160.96833648393195,160.96833648393195,4700,4232,0.0995744680851064,18254,1397,3744,0,0.04667768476120139,1.4687716204650567,0.21469822790787857,3.156157417023567,53.03507063829787,0.9489697926980064,4700,5045.33311299952
s5_buftol2,ok,3,greedy,2.0,0.25,0.01,0.9134376570099139,0.9540851063829787,0.00011593330298883979,0.544886524047547,0.040148936170212764,54.72906397749729,67.32815003488213,68.36721309227869,0.9195969441400108,0.05887658876588766,0.06574468085106383,309,0.17280385078219013,236,163,73,0,0.17364052707604427,148.13299931678432,148.13299931678432,4700,4391,0.06574468085106377,12195,718,4079,0,0.08050747199524394,2.2245473086655227,0.24852801514192113,4.78019958306482,54.99638638297873,0.9151270346905243,4700,721.476390000964
s6_buftol4,ok,3,greedy,4.0,0.25,0.01,0.9132248910524671,0.9538617021276595,0.00011593330298883979,0.544886524047547,0.04013829787234042,54.64557046318387,67.26146745495498,68.33530357689597,0.9210020055195028,0.05889590681650398,0.06638297872340425,312,0.17284545016851227,234,106,128,0,0.17010562156948528,148.1144029170465,148.1144029170465,4700,4388,0.06638297872340426,12191,718,4079,0,0.07986917412290352,2.203157430697585,0.2478897172695807,4.734236125535351,54.95938042553191,0.9157432198047302,4700,706.6187519996419
s7_buftol8,ok,3,greedy,8.0,0.25,0.01,0.9132248910524671,0.9538617021276595,0.00011593330298883979,0.544886524047547,0.04013829787234042,54.7033406251873,67.33670202083886,68.41871591168456,0.9200293695807051,0.05889590681650398,0.06638297872340425,312,0.17284545016851227,234,43,191,0,0.1729147879153757,148.1144029170465,148.1144029170465,4700,4388,0.06638297872340426,12191,718,4079,0,0.07986917412290352,2.203157430697585,0.2478897172695807,4.734236125535351,54.95938042553191,0.9157432198047302,4700,718.2880290004707
s8_statetol05,ok,3,greedy,1.0,0.5,0.01,0.91893253962618,0.9600106382978724,1.816248178888155e-05,0.08536366440774328,0.040999999999999995,54.70893018772489,67.34023243188858,68.43229874502867,0.919935371001679,0.06030936317261807,0.06744680851063829,317,0.17701038396522578,242,231,11,0,0.1736194457860305,148.3746292493726,148.3746292493726,4700,4383,0.06744680851063833,12154,733,4060,0,0.07880534433566948,2.168407313494153,0.24682588748234668,4.659563631441733,54.89770382978723,0.9167720410565068,4700,718.9581249999524
s2_k2_precheck,ok,2,greedy,1.0,0.25,0.01,0.9331975160140633,0.9758510638297873,5.3026953681460616e-05,0.2492266823028649,0.04242553191489362,54.49880070615302,67.12275702739134,68.04586842190474,0.9234823397438073,0.07193816884661118,0.050851063829787234,239,0.1423529411764706,211,183,28,0,0.10364467058811003,140.58843308675185,140.58843308675185,4700,4461,0.05085106382978721,8410,605,4095,0,0.09540108901652053,2.876088361412747,0.26342163216319775,6.180258038355771,55.85985872340426,0.9009811542588606,4700,440.4898499994676
